Method,hum1,hum2,direct_no_demo,direct_demo1,direct_demo2,indirect1,indirect2
hum1,1.0000,0.9849,0.9483,0.9678,0.9674,0.9690,0.9645
±,0.0000,0.0000,0.0030,0.0015,0.0020,0.0000,0.0000
hum2,0.9852,1.0000,0.9450,0.9653,0.9686,0.9650,0.9627
±,0.0000,0.0000,0.0026,0.0019,0.0023,0.0000,0.0000
direct_no_demo,0.9570,0.9550,0.9741,0.9677,0.9663,0.9581,0.9566
±,0.0049,0.0050,0.0141,0.0025,0.0026,0.0029,0.0033
direct_demo1,0.9631,0.9623,0.9592,0.9877,0.9811,0.9652,0.9645
±,0.0027,0.0030,0.0060,0.0063,0.0033,0.0015,0.0026
direct_demo2,0.9627,0.9650,0.9570,0.9806,0.9860,0.9653,0.9632
±,0.0030,0.0029,0.0050,0.0031,0.0076,0.0020,0.0025
indirect1,0.9662,0.9645,0.9485,0.9664,0.9675,1.0000,0.9821
±,0.0000,0.0000,0.0038,0.0013,0.0018,0.0000,0.0000
indirect2,0.9622,0.9612,0.9452,0.9652,0.9646,0.9816,1.0000
±,0.0000,0.0000,0.0045,0.0021,0.0022,0.0000,0.0000
